GO:0004866	endopeptidase inhibitor activity
GO:0009384	N-acylmannosamine kinase activity
GO:0015929	hexosaminidase activity
GO:0047173	phosphatidylcholine-retinol O-acyltransferase activity
GO:0034634	glutathione transmembrane transporter activity
GO:0034632	retinol transmembrane transporter activity
GO:0047179	platelet-activating factor acetyltransferase activity
GO:0061749	forked DNA-dependent helicase activity
GO:0032093	SAM domain binding
GO:0047485	protein N-terminus binding
GO:0010348	lithium
GO:0072518	Rho-dependent protein serine/threonine kinase activity
GO:0044466	glutaryl-CoA hydrolase activity
GO:0033192	calmodulin-dependent protein phosphatase activity
GO:0016250	N-sulfoglucosamine sulfohydrolase activity
GO:0016251	RNA polymerase II general transcription initiation factor activity
GO:0016520	growth hormone-releasing hormone receptor activity
GO:0016521	pituitary adenylate cyclase activating polypeptide activity
GO:0015645	fatty acid ligase activity
GO:0016524	latrotoxin receptor activity
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0017129	triglyceride binding
GO:0017128	phospholipid scramblase activity
GO:0030407	formimidoyltransferase activity
GO:0017125	deoxycytidyl transferase activity
GO:0017124	SH3 domain binding
GO:0002083	4-hydroxybenzoate decaprenyltransferase activity
GO:0001056	RNA polymerase III activity
GO:0001054	RNA polymerase I activity
GO:0001055	RNA polymerase II activity
GO:0030409	glutamate formimidoyltransferase activity
GO:0106105	Ala-tRNA(Thr) hydrolase activity
GO:0005163	nerve growth factor receptor binding
GO:0004334	fumarylacetoacetase activity
GO:0047994	hydroxymethylglutaryl-CoA hydrolase activity
GO:0031700	adrenomedullin receptor binding
GO:0086063	voltage-gated sodium channel activity involved in SA node cell action potential
GO:0003735	structural constituent of ribosome
GO:0097690	iron ion transmembrane transporter inhibitor activity
GO:0047323	[3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase activity
GO:0003730	mRNA 3'-UTR binding
GO:0008397	sterol 12-alpha-hydroxylase activity
GO:0099626	voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels
GO:0031681	G-protein beta-subunit binding
GO:0031682	G-protein gamma-subunit binding
GO:0031683	G-protein beta/gamma-subunit complex binding
GO:0004332	fructose-bisphosphate aldolase activity
GO:0031686	A1 adenosine receptor binding
GO:0031687	A2A adenosine receptor binding
GO:0038046	enkephalin receptor activity
GO:0031867	EP4 subtype prostaglandin E2 receptor binding
GO:0031703	type 2 angiotensin receptor binding
GO:0031861	prolactin-releasing peptide receptor binding
GO:0015658	branched-chain amino acid transmembrane transporter activity
GO:0004633	phosphopantothenoylcysteine decarboxylase activity
GO:0004969	histamine receptor activity
GO:0004968	gonadotropin-releasing hormone receptor activity
GO:0120108	DNA-3'-diphospho-5'-guanosine diphosphatase
GO:0004965	G protein-coupled GABA receptor activity
GO:0004964	luteinizing hormone receptor activity
GO:0004967	glucagon receptor activity
GO:0004966	galanin receptor activity
GO:0061630	ubiquitin protein ligase activity
GO:0061631	ubiquitin conjugating enzyme activity
GO:0004963	follicle-stimulating hormone receptor activity
GO:0050750	low-density lipoprotein particle receptor binding
GO:0072345	NAADP-sensitive calcium-release channel activity
GO:0052828	inositol-3,4-bisphosphate 4-phosphatase activity
GO:0072341	modified amino acid binding
GO:0052822	DNA-3-methylguanine glycosylase activity
GO:0052821	DNA-7-methyladenine glycosylase activity
GO:0052826	inositol hexakisphosphate 2-phosphatase activity
GO:0005534	galactose binding
GO:0022857	transmembrane transporter activity
GO:0022851	GABA-gated chloride ion channel activity
GO:0022850	serotonin-gated cation-selective channel activity
GO:0022852	glycine-gated chloride ion channel activity
GO:0043533	inositol 1,3,4,5 tetrakisphosphate binding
GO:0051800	phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity
GO:0022858	alanine transmembrane transporter activity
GO:0003867	4-aminobutyrate transaminase activity
GO:0043532	angiostatin binding
GO:0008107	galactoside 2-alpha-L-fucosyltransferase activity
GO:0008106	alcohol dehydrogenase (NADP+) activity
GO:0004497	monooxygenase activity
GO:0004496	mevalonate kinase activity
GO:0005148	prolactin receptor binding
GO:0004490	methylglutaconyl-CoA hydratase activity
GO:0004493	methylmalonyl-CoA epimerase activity
GO:0005144	interleukin-13 receptor binding
GO:0005146	leukemia inhibitory factor receptor binding
GO:0005147	oncostatin-M receptor binding
GO:0004499	N,N-dimethylaniline monooxygenase activity
GO:0004498	calcidiol 1-monooxygenase activity
GO:0008109	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity
GO:0005143	interleukin-12 receptor binding
GO:0031267	small GTPase binding
GO:0031593	polyubiquitin modification-dependent protein binding
GO:0036487	nitric-oxide synthase inhibitor activity
GO:1905762	CCR4-NOT complex binding
GO:0005548	phospholipid transporter activity
GO:0030628	pre-mRNA 3'-splice site binding
GO:0004813	alanine-tRNA ligase activity
GO:0004812	aminoacyl-tRNA ligase activity
GO:0004363	glutathione synthase activity
GO:0047961	glycine N-acyltransferase activity
GO:0004361	glutaryl-CoA dehydrogenase activity
GO:0010314	phosphatidylinositol-5-phosphate binding
GO:0004819	glutamine-tRNA ligase activity
GO:0030620	U2 snRNA binding
GO:0005542	folic acid binding
GO:0005543	phospholipid binding
GO:0005544	calcium-dependent phospholipid binding
GO:0005545	1-phosphatidylinositol binding
GO:0005546	phosphatidylinositol-4,5-bisphosphate binding
GO:0030626	U12 snRNA binding
GO:0004561	alpha-N-acetylglucosaminidase activity
GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity
GO:0004563	beta-N-acetylhexosaminidase activity
GO:0003909	DNA ligase activity
GO:0004565	beta-galactosidase activity
GO:0043539	protein serine/threonine kinase activator activity
GO:0004567	beta-mannosidase activity
GO:0004566	beta-glucuronidase activity
GO:0052917	dolichyl-P-Man
GO:0004568	chitinase activity
GO:0002060	purine nucleobase binding
GO:0099507	ligand-gated ion channel activity involved in regulation of presynaptic membrane potential
GO:0140161	monocarboxylate
GO:0008811	chloramphenicol O-acetyltransferase activity
GO:0102389	polyprenol reductase activity
GO:0008812	choline dehydrogenase activity
GO:0008073	ornithine decarboxylase inhibitor activity
GO:0051117	ATPase binding
GO:0004383	guanylate cyclase activity
GO:0004382	guanosine-diphosphatase activity
GO:0004385	guanylate kinase activity
GO:0099508	voltage-gated ion channel activity involved in regulation of presynaptic membrane potential
GO:0004386	helicase activity
GO:0001517	N-acetylglucosamine 6-O-sulfotransferase activity
GO:0046966	thyroid hormone receptor binding
GO:0001515	opioid peptide activity
GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters
GO:0001512	dihydronicotinamide riboside quinone reductase activity
GO:0046961	proton-transporting ATPase activity, rotational mechanism
GO:0050509	N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity
GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity
GO:0046969	NAD-dependent histone deacetylase activity (H3-K9 specific)
GO:0050501	hyaluronan synthase activity
GO:0140439	protein-cysteine S-stearoyltransferase activity
GO:1990460	leptin receptor binding
GO:0000010	trans-hexaprenyltranstransferase activity
GO:0098531	ligand-activated transcription factor activity
GO:0004333	fumarate hydratase activity
GO:0004705	JUN kinase activity
GO:0004704	NF-kappaB-inducing kinase activity
GO:0004707	MAP kinase activity
GO:0004706	JUN kinase kinase kinase activity
GO:0016890	site-specific endodeoxyribonuclease activity, specific for altered base
GO:0004703	G protein-coupled receptor kinase activity
GO:0005385	zinc ion transmembrane transporter activity
GO:0008705	methionine synthase activity
GO:0005388	calcium transmembrane transporter activity, phosphorylative mechanism
GO:0004709	MAP kinase kinase kinase activity
GO:0004708	MAP kinase kinase activity
GO:0043914	NADPH
GO:0004033	aldo-keto reductase (NADP) activity
GO:0018024	histone-lysine N-methyltransferase activity
GO:0004031	aldehyde oxidase activity
GO:0140345	phosphatidylcholine flippase activity
GO:0004037	allantoicase activity
GO:0140343	phosphatidylserine transfer activity
GO:0004035	alkaline phosphatase activity
GO:0004034	aldose 1-epimerase activity
GO:0003937	IMP cyclohydrolase activity
GO:0008254	3'-nucleotidase activity
GO:0008253	5'-nucleotidase activity
GO:0055056	D-glucose transmembrane transporter activity
GO:0008251	tRNA-specific adenosine deaminase activity
GO:0106327	acetylgalactosaminyl-O-glycosyl-threonyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity
GO:0051022	Rho GDP-dissociation inhibitor binding
GO:0008709	cholate 7-alpha-dehydrogenase activity
GO:0051020	GTPase binding
GO:0051021	GDP-dissociation inhibitor binding
GO:1905574	ganglioside GM2 binding
GO:0099181	structural constituent of presynapse
GO:0001602	pancreatic polypeptide receptor activity
GO:0001601	peptide YY receptor activity
GO:0001607	neuromedin U receptor activity
GO:0099184	structural constituent of postsynaptic intermediate filament cytoskeleton
GO:0001605	adrenomedullin receptor activity
GO:0001604	urotensin II receptor activity
GO:0015417	ABC-type polyamine transporter activity
GO:0050211	procollagen galactosyltransferase activity
GO:0080025	phosphatidylinositol-3,5-bisphosphate binding
GO:0015317	phosphate
GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity
GO:0000700	mismatch base pair DNA N-glycosylase activity
GO:0050218	propionate-CoA ligase activity
GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
GO:0003796	lysozyme activity
GO:0004149	dihydrolipoyllysine-residue succinyltransferase activity
GO:0004148	dihydrolipoyl dehydrogenase activity
GO:0004631	phosphomevalonate kinase activity
GO:0004630	phospholipase D activity
GO:0004145	diamine N-acetyltransferase activity
GO:0004144	diacylglycerol O-acyltransferase activity
GO:0004143	diacylglycerol kinase activity
GO:0004634	phosphopyruvate hydratase activity
GO:0004637	phosphoribosylamine-glycine ligase activity
GO:0004140	dephospho-CoA kinase activity
GO:0032810	sterol response element binding
GO:0031419	cobalamin binding
GO:0032813	tumor necrosis factor receptor superfamily binding
GO:0032767	copper-dependent protein binding
GO:0031418	L-ascorbic acid binding
GO:0106325	acetylgalactosaminyl-O-glycosyl-seryl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
GO:0046936	2'-deoxyadenosine deaminase activity
GO:0090560	2-(3-amino-3-carboxypropyl)histidine synthase activity
GO:0008493	tetracycline transmembrane transporter activity
GO:0008495	protoheme IX farnesyltransferase activity
GO:0008494	translation activator activity
GO:0008499	UDP-galactose
GO:0070975	FHA domain binding
GO:0033558	protein deacetylase activity
GO:1902387	ceramide 1-phosphate binding
GO:0015151	alpha-glucoside transmembrane transporter activity
GO:0036004	GAF domain binding
GO:0008656	cysteine-type endopeptidase activator activity involved in apoptotic process
GO:0019797	procollagen-proline 3-dioxygenase activity
GO:0001856	complement component C5a binding
GO:0008659	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity
GO:0070976	TIR domain binding
GO:0070052	collagen V binding
GO:0070053	thrombospondin receptor activity
GO:0070051	fibrinogen binding
GO:0070698	type I activin receptor binding
GO:0019001	guanyl nucleotide binding
GO:0019002	GMP binding
GO:0019003	GDP binding
GO:0050321	tau-protein kinase activity
GO:0050277	sedoheptulokinase activity
GO:0046980	tapasin binding
GO:0046983	protein dimerization activity
GO:0046982	protein heterodimerization activity
GO:0070694	deoxyribonucleoside 5'-monophosphate N-glycosidase activity
GO:0015269	calcium-activated potassium channel activity
GO:0070697	activin receptor binding
GO:0019778	Atg12 activating enzyme activity
GO:0019779	Atg8 activating enzyme activity
GO:0016791	phosphatase activity
GO:0070273	phosphatidylinositol-4-phosphate binding
GO:0019958	C-X-C chemokine binding
GO:0019959	interleukin-8 binding
GO:0019956	chemokine binding
GO:0019957	C-C chemokine binding
GO:0019955	cytokine binding
GO:0015440	ABC-type peptide transporter activity
GO:0016798	hydrolase activity, acting on glycosyl bonds
GO:0070279	vitamin B6 binding
GO:0042393	histone binding
GO:0010465	nerve growth factor receptor activity
GO:0061712	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase
GO:0052593	tryptamine
GO:0140294	NAD DNA ADP-ribosyltransferase activity
GO:0052591	sn-glycerol-3-phosphate
GO:0052590	sn-glycerol-3-phosphate
GO:0052597	diamine oxidase activity
GO:0052596	phenethylamine
GO:0052595	aliphatic-amine oxidase activity
GO:0052594	aminoacetone
GO:0004961	thromboxane A2 receptor activity
GO:0052599	methylputrescine oxidase activity
GO:0045503	dynein light chain binding
GO:0045504	dynein heavy chain binding
GO:0045505	dynein intermediate chain binding
GO:0030108	HLA-A specific activating MHC class I receptor activity
GO:0004960	thromboxane receptor activity
GO:1990935	splicing factor binding
GO:0032561	guanyl ribonucleotide binding
GO:0050038	L-xylulose reductase (NADP+) activity
GO:0004610	phosphoacetylglucosamine mutase activity
GO:1990931	RNA N6-methyladenosine dioxygenase activity
GO:1990930	RNA N1-methyladenosine dioxygenase activity
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors
GO:0046977	TAP binding
GO:0003920	GMP reductase activity
GO:0016668	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor
GO:0004962	endothelin receptor activity
GO:1990939	ATP-dependent microtubule motor activity
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity
GO:0033743	peptide-methionine (R)-S-oxide reductase activity
GO:0034246	mitochondrial transcription factor activity
GO:0042043	neurexin family protein binding
GO:0033746	histone demethylase activity (H3-R2 specific)
GO:0033745	L-methionine-(R)-S-oxide reductase activity
GO:0050998	nitric-oxide synthase binding
GO:0120296	peptide dopaminyltransferase activity
GO:0120297	histone dopaminyltransferase activity
GO:0070300	phosphatidic acid binding
GO:0004614	phosphoglucomutase activity
GO:0004877	complement component C3b receptor activity
GO:0070678	preprotein binding
GO:0051747	cytosine C-5 DNA demethylase activity
GO:0102555	octanoyl transferase activity (acting on glycine-cleavage complex H protein)
GO:0047760	butyrate-CoA ligase activity
GO:0043273	CTPase activity
GO:0043274	phospholipase binding
GO:0016278	lysine N-methyltransferase activity
GO:0003921	GMP synthase activity
GO:0035198	miRNA binding
GO:0047130	saccharopine dehydrogenase (NADP+, L-lysine-forming) activity
GO:0004619	phosphoglycerate mutase activity
GO:0102662	malonate-semialdehyde dehydrogenase (acetylating, NAD+) activity
GO:0050613	delta14-sterol reductase activity
GO:0097657	3',5'-nucleotide bisphosphate phosphatase activity
GO:0008386	cholesterol monooxygenase (side-chain-cleaving) activity
GO:0033699	DNA 5'-adenosine monophosphate hydrolase activity
GO:0033691	sialic acid binding
GO:0004757	sepiapterin reductase activity
GO:0016405	CoA-ligase activity
GO:0016404	15-hydroxyprostaglandin dehydrogenase (NAD+) activity
GO:0016407	acetyltransferase activity
GO:0016401	palmitoyl-CoA oxidase activity
GO:0004754	saccharopine dehydrogenase (NAD+, L-lysine-forming) activity
GO:0016403	dimethylargininase activity
GO:0042500	aspartic endopeptidase activity, intramembrane cleaving
GO:0071890	bicarbonate binding
GO:0035800	deubiquitinase activator activity
GO:0015185	gamma-aminobutyric acid transmembrane transporter activity
GO:0016409	palmitoyltransferase activity
GO:0035804	structural constituent of egg coat
GO:0034338	short-chain carboxylesterase activity
GO:0003676	nucleic acid binding
GO:0035755	cardiolipin hydrolase activity
GO:0030984	kininogen binding
GO:0061752	telomeric repeat-containing RNA binding
GO:0061751	neutral sphingomyelin phosphodiesterase activity
GO:0061750	acid sphingomyelin phosphodiesterase activity
GO:0030983	mismatched DNA binding
GO:0016793	triphosphoric monoester hydrolase activity
GO:0047105	4-trimethylammoniobutyraldehyde dehydrogenase activity
GO:0070089	chloride-activated potassium channel activity
GO:0031690	adrenergic receptor binding
GO:0097200	cysteine-type endopeptidase activity involved in execution phase of apoptosis
GO:0003985	acetyl-CoA C-acetyltransferase activity
GO:0004085	butyryl-CoA dehydrogenase activity
GO:0038186	lithocholic acid receptor activity
GO:0038187	pattern recognition receptor activity
GO:0038181	bile acid receptor activity
GO:0038182	G protein-coupled bile acid receptor activity
GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity
GO:0019966	interleukin-1 binding
GO:0016248	channel inhibitor activity
GO:0016247	channel regulator activity
GO:0033188	sphingomyelin synthase activity
GO:0016532	superoxide dismutase copper chaperone activity
GO:0106138	Sec61 translocon complex binding
GO:0030184	nitric oxide transmembrane transporter activity
GO:0017118	lipoyltransferase activity
GO:0050698	proteoglycan sulfotransferase activity
GO:0050699	WW domain binding
GO:1904841	TORC2 complex binding
GO:0017116	single-stranded DNA helicase activity
GO:0061133	endopeptidase activator activity
GO:0017111	nucleoside-triphosphatase activity
GO:0017113	dihydropyrimidine dehydrogenase (NADP+) activity
GO:0061685	diphthine methylesterase activity
GO:0001042	RNA polymerase I core binding
GO:0001046	core promoter sequence-specific DNA binding
GO:0047613	aconitate decarboxylase activity
GO:1904680	peptide transmembrane transporter activity
GO:0047611	acetylspermidine deacetylase activity
GO:0047617	acyl-CoA hydrolase activity
GO:0033989	3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase activity
GO:0003700	DNA-binding transcription factor activity
GO:0019964	interferon-gamma binding
GO:0003707	steroid hormone receptor activity
GO:0035591	signaling adaptor activity
GO:0097110	scaffold protein binding
GO:0035596	methylthiotransferase activity
GO:0035597	N6-isopentenyladenosine methylthiotransferase activity
GO:0035598	N6-threonylcarbomyladenosine methylthiotransferase activity
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups
GO:0043295	glutathione binding
GO:0031697	beta-1 adrenergic receptor binding
GO:0031696	alpha-2C adrenergic receptor binding
GO:0031871	proteinase activated receptor binding
GO:0031870	thromboxane A2 receptor binding
GO:0031877	somatostatin receptor binding
GO:0031692	alpha-1B adrenergic receptor binding
GO:0031691	alpha-1A adrenergic receptor binding
GO:1990738	pseudouridine 5'-phosphatase activity
GO:0000248	C-5 sterol desaturase activity
GO:0035373	chondroitin sulfate proteoglycan binding
GO:0035374	chondroitin sulfate binding
GO:0035375	zymogen binding
GO:0031698	beta-2 adrenergic receptor binding
GO:0004950	chemokine receptor activity
GO:0004951	cholecystokinin receptor activity
GO:0004952	dopamine neurotransmitter receptor activity
GO:0047804	cysteine-S-conjugate beta-lyase activity
GO:0061627	S-methylmethionine-homocysteine S-methyltransferase activity
GO:0004955	prostaglandin receptor activity
GO:0004956	prostaglandin D receptor activity
GO:0004957	prostaglandin E receptor activity
GO:0004958	prostaglandin F receptor activity
GO:0004491	methylmalonate-semialdehyde dehydrogenase (acylating) activity
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding
GO:0061628	H3K27me3 modified histone binding
GO:0030504	inorganic diphosphate transmembrane transporter activity
GO:0030506	ankyrin binding
GO:0030507	spectrin binding
GO:0052858	peptidyl-lysine acetyltransferase activity
GO:0052856	NADHX epimerase activity
GO:0016922	nuclear receptor binding
GO:0097372	NAD-dependent histone deacetylase activity (H3-K18 specific)
GO:0052855	ADP-dependent NAD(P)H-hydrate dehydratase activity
GO:0052852	very-long-chain-(S)-2-hydroxy-acid oxidase activity
GO:0070840	dynein complex binding
GO:0052851	ferric-chelate reductase (NADPH) activity
GO:0120299	peptide histaminyltransferase activity
GO:0004494	methylmalonyl-CoA mutase activity
GO:0015190	L-leucine transmembrane transporter activity
GO:0043125	ErbB-3 class receptor binding
GO:0003963	RNA-3'-phosphate cyclase activity
GO:0043120	tumor necrosis factor binding
GO:0043121	neurotrophin binding
GO:0005153	interleukin-8 receptor binding
GO:0005152	interleukin-1 receptor antagonist activity
GO:0005151	interleukin-1, type II receptor binding
GO:0005150	interleukin-1, type I receptor binding
GO:0005157	macrophage colony-stimulating factor receptor binding
GO:0005154	epidermal growth factor receptor binding
GO:0005140	interleukin-9 receptor binding
GO:0005159	insulin-like growth factor receptor binding
GO:0005158	insulin receptor binding
GO:0005141	interleukin-10 receptor binding
GO:0070878	primary miRNA binding
GO:0036470	tyrosine 3-monooxygenase activator activity
GO:0036130	prostaglandin H2 endoperoxidase reductase activity
GO:0005142	interleukin-11 receptor binding
GO:0045182	translation regulator activity
GO:0045183	translation factor activity, non-nucleic acid binding
GO:0031773	kisspeptin receptor binding
GO:0036478	L-dopa decarboxylase activator activity
GO:0036479	peroxidase inhibitor activity
GO:0047977	hepoxilin-epoxide hydrolase activity
GO:1902098	calcitriol binding
GO:0047975	guanosine phosphorylase activity
GO:0004824	lysine-tRNA ligase activity
GO:0004825	methionine-tRNA ligase activity
GO:0004826	phenylalanine-tRNA ligase activity
GO:0004827	proline-tRNA ligase activity
GO:0004820	glycine-tRNA ligase activity
GO:0004821	histidine-tRNA ligase activity
GO:0019960	C-X3-C chemokine binding
GO:0004823	leucine-tRNA ligase activity
GO:0106363	protein-cysteine methyltransferase activity
GO:0036134	12-hydroxyheptadecatrienoic acid synthase activity
GO:0004828	serine-tRNA ligase activity
GO:0004829	threonine-tRNA ligase activity
GO:0003810	protein-glutamine gamma-glutamyltransferase activity
GO:0004555	alpha,alpha-trehalase activity
GO:0004556	alpha-amylase activity
GO:0004557	alpha-galactosidase activity
GO:0004550	nucleoside diphosphate kinase activity
GO:0004551	nucleotide diphosphatase activity
GO:1902945	metalloendopeptidase activity involved in amyloid precursor protein catabolic process
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0002113	interleukin-33 binding
GO:0004558	alpha-1,4-glucosidase activity
GO:0004559	alpha-mannosidase activity
GO:0102420	sn-1-glycerol-3-phosphate C16
GO:0102391	decanoate-CoA ligase activity
GO:0102390	mycophenolic acid acyl-glucuronide esterase activity
GO:0043878	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity
GO:0008009	chemokine activity
GO:0098599	palmitoyl hydrolase activity
GO:0043874	acireductone synthase activity
GO:0120294	peptide serotonyltransferase activity
GO:0016308	1-phosphatidylinositol-4-phosphate 5-kinase activity
GO:0102938	orcinol O-methyltransferase activity
GO:0016881	acid-amino acid ligase activity
GO:0004796	thromboxane-A synthase activity
GO:0070915	lysophosphatidic acid receptor activity
GO:0030378	serine racemase activity
GO:0044877	protein-containing complex binding
GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor
GO:0016887	ATPase activity
GO:0034987	immunoglobulin receptor binding
GO:0034988	Fc-gamma receptor I complex binding
GO:0016888	endodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0050510	N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity
GO:0000026	alpha-1,2-mannosyltransferase activity
GO:0050512	lactosylceramide 4-alpha-galactosyltransferase activity
GO:0004738	pyruvate dehydrogenase activity
GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity
GO:0004795	threonine synthase activity
GO:0106261	tRNA uridine(34) acetyltransferase activity
GO:0004731	purine-nucleoside phosphorylase activity
GO:0004733	pyridoxamine-phosphate oxidase activity
GO:0008693	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity
GO:0004735	pyrroline-5-carboxylate reductase activity
GO:0004736	pyruvate carboxylase activity
GO:0005391	P-type sodium
GO:0098770	FBXO family protein binding
GO:0016303	1-phosphatidylinositol-3-kinase activity
GO:0035005	1-phosphatidylinositol-4-phosphate 3-kinase activity
GO:0016300	tRNA (uracil) methyltransferase activity
GO:0102732	myo-inositol-1,2,3,4,6-heptakisphosphate 5-kinase activity
GO:0004046	aminoacylase activity
GO:0004047	aminomethyltransferase activity
GO:0004044	amidophosphoribosyltransferase activity
GO:0004045	aminoacyl-tRNA hydrolase activity
GO:0004042	acetyl-CoA
GO:0004043	L-aminoadipate-semialdehyde dehydrogenase activity
GO:0004040	amidase activity
GO:0005549	odorant binding
GO:0103068	leukotriene C4 gamma-glutamyl transferase activity
GO:0103069	17-hydroxyprogesterone 21-hydroxylase activity
GO:0140359	ABC-type transporter activity
GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GO:0035256	G protein-coupled glutamate receptor binding
GO:0048019	receptor antagonist activity
GO:0048018	receptor ligand activity
GO:0051033	RNA transmembrane transporter activity
GO:0004364	glutathione transferase activity
GO:0023026	MHC class II protein complex binding
GO:0023025	MHC class Ib protein complex binding
GO:0023024	MHC class I protein complex binding
GO:0004815	aspartate-tRNA ligase activity
GO:0023029	MHC class Ib protein binding
GO:0035254	glutamate receptor binding
GO:0036054	protein-malonyllysine demalonylase activity
GO:0036055	protein-succinyllysine desuccinylase activity
GO:0001671	ATPase activator activity
GO:0050201	fucokinase activity
GO:0050200	plasmalogen synthase activity
GO:0004817	cysteine-tRNA ligase activity
GO:0015301	anion
GO:0080030	methyl indole-3-acetate esterase activity
GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
GO:0008828	dATP pyrophosphohydrolase activity
GO:0005540	hyaluronic acid binding
GO:0004608	phosphatidylethanolamine N-methyltransferase activity
GO:0004609	phosphatidylserine decarboxylase activity
GO:0008398	sterol 14-demethylase activity
GO:0004818	glutamate-tRNA ligase activity
GO:0008396	oxysterol 7-alpha-hydroxylase activity
GO:0008821	crossover junction endodeoxyribonuclease activity
GO:0008395	steroid hydroxylase activity
GO:0008392	arachidonic acid epoxygenase activity
GO:0004601	peroxidase activity
GO:0004602	glutathione peroxidase activity
GO:0008391	arachidonic acid monooxygenase activity
GO:0019202	amino acid kinase activity
GO:0052692	raffinose alpha-galactosidase activity
GO:0030622	U4atac snRNA binding
GO:0034713	type I transforming growth factor beta receptor binding
GO:0019203	carbohydrate phosphatase activity
GO:0030275	LRR domain binding
GO:0038025	reelin receptor activity
GO:0030624	U6atac snRNA binding
GO:0038024	cargo receptor activity
GO:0030627	pre-mRNA 5'-splice site binding
GO:0036185	13-lipoxin reductase activity
GO:0047150	betaine-homocysteine S-methyltransferase activity
GO:0005547	phosphatidylinositol-3,4,5-trisphosphate binding
GO:0010485	H4 histone acetyltransferase activity
GO:0010484	H3 histone acetyltransferase activity
GO:0019787	ubiquitin-like protein transferase activity
GO:0015279	store-operated calcium channel activity
GO:1990837	sequence-specific double-stranded DNA binding
GO:0019783	ubiquitin-like protein-specific protease activity
GO:0019782	ISG15 activating enzyme activity
GO:0019781	NEDD8 activating enzyme activity
GO:0004560	alpha-L-fucosidase activity
GO:0015272	ATP-activated inward rectifier potassium channel activity
GO:0015271	outward rectifier potassium channel activity
GO:0015421	ABC-type oligopeptide transporter activity
GO:0015277	kainate selective glutamate receptor activity
GO:0015276	ligand-gated ion channel activity
GO:0019789	SUMO transferase activity
GO:0019788	NEDD8 transferase activity
GO:0050337	thiosulfate-thiol sulfurtransferase activity
GO:0050333	thiamin-triphosphatase activity
GO:0018549	methanethiol oxidase activity
GO:0015453	oxidoreduction-driven active transmembrane transporter activity
GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity
GO:0019948	SUMO activating enzyme activity
GO:0015459	potassium channel regulator activity
GO:0052918	dol-P-Man
GO:0032977	membrane insertase activity
GO:0019767	IgE receptor activity
GO:0019766	IgA receptor activity
GO:0004569	glycoprotein endo-alpha-1,2-mannosidase activity
GO:0097621	monoamine oxidase activity
GO:0106322	S-(hydroxymethyl)glutathione dehydrogenase NAD activity
GO:0071796	K6-linked polyubiquitin modification-dependent protein binding
GO:0071795	K11-linked polyubiquitin modification-dependent protein binding
GO:0071791	chemokine (C-C motif) ligand 5 binding
GO:0000171	ribonuclease MRP activity
GO:0045519	interleukin-23 receptor binding
GO:0045518	interleukin-22 receptor binding
GO:0015057	thrombin-activated receptor activity
GO:0015056	corticotrophin-releasing factor receptor activity
GO:0015055	secretin receptor activity
GO:0015054	gastrin receptor activity
GO:0045513	interleukin-27 binding
GO:0000810	diacylglycerol diphosphate phosphatase activity
GO:0008534	oxidized purine nucleobase lesion DNA N-glycosylase activity
GO:0070463	tubulin-dependent ATPase activity
GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor
GO:0032574	5'-3' RNA helicase activity
GO:0005034	osmosensor activity
GO:0016651	oxidoreductase activity, acting on NAD(P)H
